student_id,department,semester,course_load,study_hours_weekly,gpa,attendance_pct,has_internship,commute_minutes,scholarship
STU00031,Business,Fall 2024,6,15.4,2.54,61.4,No,,Department
STU00032,Computer Science,Spring 2024,6,18.2,3.14,65.0,Yes,39,Need-based
STU00033,Business,Spring 2024,6,9.3,2.28,73.4,No,30,Department
STU00034,Engineering,Fall 2023,4,11.7,2.6,78.8,No,22,None
STU00035,Biology,Spring 2024,4,12.7,2.2,88.1,No,10,Need-based
STU00036,Biology,Spring 2024,3,9.5,2.15,73.3,No,25,Department
STU00037,Mathematics,Fall 2024,5,17.2,2.74,68.2,No,39,Need-based
STU00038,Biology,Fall 2024,3,17.0,2.95,79.0,Yes,16,Athletic
STU00039,Business,Fall 2023,5,19.1,3.2,95.9,No,26,Athletic
STU00040,Business,Fall 2023,3,7.1,2.27,74.4,No,26,Athletic
STU00041,Mathematics,Fall 2023,5,15.8,3.25,61.6,No,,Athletic
STU00042,Mathematics,Fall 2024,6,22.4,3.52,100,No,16,Athletic
STU00043,Mathematics,Fall 2024,5,17.3,2.76,58.0,No,29,None
STU00044,Computer Science,Spring 2024,3,18.3,3.1,81.3,Yes,50,None
STU00045,Engineering,Spring 2024,3,8.0,2.48,83.8,Yes,12,Merit
STU00046,Computer Science,Fall 2024,4,12.5,2.7,65.2,No,21,None
STU00047,Business,Fall 2023,5,22.8,3.49,83.2,Yes,,Merit
STU00048,Biology,Fall 2023,4,17.6,3.38,73.1,No,13,Need-based
STU00049,Business,Fall 2023,5,13.4,2.69,100,No,29,Merit
STU00050,Biology,Spring 2024,4,9.7,2.72,75.4,No,29,Need-based
STU00051,Computer Science,Spring 2024,6,17.8,3.15,56.4,Yes,22,Department
STU00052,Mathematics,Spring 2024,6,22.6,3.02,73.5,No,29,Athletic
STU00053,Computer Science,Fall 2024,6,17.8,2.93,66.5,No,57,Need-based
STU00054,Business,Fall 2023,6,29.0,3.21,67.4,No,,Department
STU00055,Engineering,Spring 2024,3,18.2,3.01,79.2,Yes,36,Athletic
STU00056,Engineering,Spring 2024,5,21.3,3.13,100,No,41,Athletic
STU00057,Business,Fall 2024,4,19.0,3.07,100,No,32,Need-based
STU00058,Biology,Fall 2023,6,11.8,2.67,95.0,Yes,34,Merit
STU00059,Computer Science,Fall 2023,4,6.1,1.78,70.9,No,23,Merit
STU00060,Mathematics,Fall 2024,6,8.1,2.44,69.6,No,48,Need-based
STU00061,Computer Science,Fall 2023,6,7.7,2.85,68.0,Yes,30,Merit
STU00062,Mathematics,Spring 2024,4,18.7,2.39,78.1,No,,Merit
STU00063,Computer Science,Spring 2024,3,10.4,2.44,78.0,No,36,None
STU00064,Computer Science,Spring 2024,4,15.1,2.42,69.9,No,33,Need-based
STU00065,Biology,Fall 2024,4,16.5,2.67,74.9,No,24,Athletic
STU00066,Computer Science,Fall 2023,4,10.4,3.04,68.9,No,17,None
STU00067,Mathematics,Fall 2024,5,7.9,2.18,72.4,No,30,Athletic
STU00068,Business,Fall 2024,5,6.1,1.92,76.2,No,23,None
STU00069,Biology,Spring 2024,6,20.7,2.64,81.5,No,25,None
STU00070,Business,Fall 2024,4,10.4,2.25,100.0,No,27,Athletic
STU00071,Computer Science,Fall 2024,5,13.8,2.86,57.9,No,9,None
STU00072,Mathematics,Fall 2023,4,4.3,1.94,79.9,No,,Athletic
STU00073,Engineering,Fall 2024,3,7.9,2.0,70.2,No,39,None
STU00074,Biology,Spring 2024,6,11.8,2.92,90.8,Yes,41,Merit
STU00075,Business,Fall 2023,3,11.0,3.22,79.6,No,38,None
STU00076,Computer Science,Spring 2024,5,9.4,2.69,72.2,No,27,Merit
STU00077,Mathematics,Spring 2024,5,17.6,3.34,100,No,25,Athletic
STU00078,Mathematics,Fall 2024,3,12.7,2.48,71.1,No,28,Athletic
STU00079,Engineering,Fall 2023,6,17.5,2.98,72.6,No,33,Merit
STU00080,Computer Science,Fall 2024,6,15.6,2.63,75.0,No,15,Athletic
STU00081,Mathematics,Fall 2024,3,17.1,2.88,84.2,No,42,Athletic
STU00082,Engineering,Spring 2024,3,22.0,3.74,79.1,No,,None
STU00083,Computer Science,Fall 2023,5,7.8,2.36,66.8,No,44,None
STU00084,Computer Science,Fall 2024,3,19.0,3.34,74.4,Yes,,Athletic
STU00085,Biology,Fall 2023,6,4.9,2.37,88.0,No,5,None
STU00086,Biology,Fall 2023,6,18.6,3.18,64.3,Yes,,Athletic
STU00087,Computer Science,Fall 2024,3,4.6,2.16,88.7,No,29,Athletic
STU00088,Biology,Fall 2024,4,24.7,3.28,61.7,No,24,Department
STU00089,Biology,Fall 2024,5,21.3,3.17,75.2,Yes,24,None
STU00090,Engineering,Spring 2024,3,9.0,2.19,71.2,No,32,None
STU00091,Engineering,Fall 2024,5,11.6,2.8,90.9,No,5,Athletic
STU00092,Biology,Fall 2024,5,17.5,2.79,69.7,No,14,Need-based
STU00093,Engineering,Fall 2023,4,21.5,3.1,61.4,No,28,None
STU00094,Biology,Fall 2023,3,12.2,2.8,81.1,No,23,Merit
STU00095,Computer Science,Spring 2024,5,14.9,2.53,57.4,No,13,Merit
STU00096,Engineering,Spring 2024,4,12.6,2.09,89.4,No,,Department
STU00097,Computer Science,Fall 2023,3,12.3,2.88,61.0,Yes,41,None
STU00098,Business,Fall 2024,3,12.0,2.24,74.4,Yes,15,None
STU00099,Business,Spring 2024,3,5.3,2.24,59.8,Yes,,Need-based
STU00100,Engineering,Fall 2024,3,14.5,2.57,89.8,No,,None
STU00101,Mathematics,Spring 2024,6,15.9,2.93,79.3,No,33,Athletic
STU00102,Mathematics,Fall 2024,5,18.1,3.04,83.5,Yes,19,Athletic
STU00103,Computer Science,Fall 2024,6,13.8,2.22,50.8,No,,Athletic
STU00104,Computer Science,Spring 2024,5,1.2,1.47,73.3,No,38,Need-based
STU00105,Mathematics,Fall 2023,6,10.4,2.46,86.9,No,34,Athletic
STU00106,Business,Fall 2024,3,13.7,2.98,81.9,Yes,7,None
STU00107,Computer Science,Fall 2024,3,10.1,3.04,74.7,Yes,53,Need-based
STU00108,Business,Fall 2024,6,11.8,2.39,71.9,Yes,17,Athletic
STU00109,Business,Fall 2024,5,15.4,3.11,68.6,Yes,79,Department
STU00110,Business,Fall 2023,5,16.4,2.75,76.1,Yes,36,Department
STU00111,Mathematics,Spring 2024,4,18.2,3.08,64.2,Yes,5,Need-based
STU00112,Business,Spring 2024,5,22.9,3.52,75.2,No,19,None
STU00113,Engineering,Fall 2023,5,11.2,2.48,80.8,No,,Department
STU00114,Biology,Fall 2023,3,11.8,3.27,96.8,Yes,,Merit
STU00115,Mathematics,Fall 2024,5,16.4,3.35,86.0,No,20,None
STU00116,Mathematics,Fall 2024,3,21.6,3.19,87.9,Yes,39,Need-based
STU00117,Computer Science,Spring 2024,4,5.9,2.11,100,No,21,None
STU00118,Mathematics,Fall 2023,4,19.8,3.46,74.0,No,62,Athletic
STU00119,Computer Science,Fall 2024,4,11.8,2.38,87.5,Yes,14,None
STU00120,Business,Fall 2023,3,15.7,2.69,71.1,No,42,Athletic
STU00121,Mathematics,Fall 2024,6,20.1,3.27,74.1,No,30,Department
STU00122,Mathematics,Fall 2023,4,2.4,1.82,75.2,No,21,Merit
STU00123,Computer Science,Fall 2024,4,13.9,2.79,69.2,No,29,None
STU00124,Computer Science,Fall 2024,3,12.5,2.52,70.6,No,44,Athletic
STU00125,Computer Science,Fall 2023,6,33.0,3.4,60.7,No,8,Department
STU00126,Computer Science,Fall 2024,5,23.7,3.24,87.3,No,44,None
STU00127,Mathematics,Fall 2023,6,10.4,2.48,49.9,Yes,12,Department
STU00128,Computer Science,Fall 2024,4,9.5,2.48,51.1,Yes,17,Merit
STU00129,Computer Science,Fall 2024,6,19.0,3.33,79.0,No,,Athletic
STU00130,Biology,Fall 2023,5,20.1,2.2,71.3,No,6,Department
STU00131,Computer Science,Fall 2023,6,19.0,3.15,80.9,Yes,,Athletic
STU00132,Mathematics,Spring 2024,5,18.1,2.59,61.6,No,31,Athletic
STU00133,Computer Science,Fall 2023,6,17.7,3.23,70.3,No,23,Merit
STU00134,Mathematics,Fall 2024,4,26.6,3.35,60.6,No,19,Athletic
STU00135,Business,Spring 2024,3,25.8,3.5,90.0,No,33,Need-based
STU00136,Business,Fall 2023,4,6.9,2.33,81.3,Yes,20,Department
STU00137,Biology,Fall 2023,4,15.1,3.28,94.9,Yes,23,Department
STU00138,Biology,Fall 2023,6,6.3,2.53,78.8,Yes,47,Need-based
STU00139,Engineering,Spring 2024,3,11.1,2.15,72.1,No,5,Department
STU00140,Biology,Spring 2024,4,22.7,3.3,75.3,No,19,Merit
STU00141,Mathematics,Fall 2024,3,12.2,2.07,91.8,No,30,Department
STU00142,Business,Fall 2024,6,17.8,2.91,66.8,Yes,16,Need-based
STU00143,Business,Fall 2023,3,12.7,2.95,88.8,No,33,None
STU00144,Biology,Fall 2024,5,15.4,2.39,65.0,No,30,Athletic
STU00145,Engineering,Spring 2024,4,15.5,2.84,50.8,No,6,Merit
STU00146,Business,Spring 2024,4,23.1,3.16,92.2,No,9,Need-based
STU00147,Computer Science,Fall 2023,3,17.5,2.95,66.7,Yes,22,Need-based
STU00148,Biology,Fall 2024,6,9.1,2.69,79.1,Yes,31,Department
STU00149,Biology,Fall 2023,4,2.2,2.63,83.1,Yes,12,Athletic
STU00150,Biology,Fall 2024,4,20.0,2.73,75.3,No,,Merit
STU00151,Biology,Fall 2023,5,26.5,3.56,62.7,Yes,35,Athletic
STU00152,Biology,Spring 2024,4,17.8,1.98,74.8,No,30,Merit
STU00153,Mathematics,Spring 2024,5,14.3,2.81,79.8,Yes,41,Need-based
STU00154,Mathematics,Fall 2023,3,2.8,2.31,77.4,No,29,Athletic
STU00155,Mathematics,Spring 2024,4,15.2,2.92,91.9,No,21,None
STU00156,Business,Spring 2024,6,7.3,2.25,60.0,Yes,19,None
STU00157,Engineering,Spring 2024,3,15.0,3.08,76.9,Yes,16,None
STU00158,Business,Fall 2023,3,12.2,2.52,88.2,No,15,Need-based
STU00159,Biology,Fall 2024,5,26.2,3.75,83.7,Yes,44,Athletic
STU00160,Mathematics,Fall 2023,5,9.8,2.25,54.7,No,15,Department
STU00161,Biology,Fall 2023,6,16.9,2.65,75.6,No,13,Need-based
STU00162,Computer Science,Spring 2024,5,15.1,3.44,68.3,Yes,11,Athletic
STU00163,Engineering,Fall 2023,4,3.9,2.41,87.7,No,,Merit
STU00164,Engineering,Spring 2024,6,6.2,2.62,91.3,No,30,Athletic
STU00165,Business,Spring 2024,4,10.9,2.9,83.1,Yes,45,Merit
STU00166,Computer Science,Spring 2024,6,18.9,3.3,62.9,No,30,Need-based
STU00167,Business,Spring 2024,5,11.4,2.23,85.7,No,25,Department
STU00168,Biology,Fall 2024,6,4.1,2.11,80.9,No,27,Need-based
STU00169,Mathematics,Fall 2024,5,13.6,2.97,90.8,No,35,Merit
STU00170,Biology,Fall 2023,4,2.6,2.54,83.8,No,16,Merit
STU00171,Business,Spring 2024,4,11.6,2.36,69.9,No,5,Merit
STU00172,Business,Fall 2023,3,13.3,2.27,76.2,No,,Department
STU00173,Computer Science,Fall 2024,4,8.5,2.89,66.8,Yes,19,Need-based
STU00174,Biology,Fall 2024,6,11.2,1.79,90.8,No,5,None
STU00175,Mathematics,Fall 2024,6,23.3,3.1,48.9,No,31,Department
STU00176,Business,Fall 2023,4,29.9,3.36,75.1,No,38,Merit
STU00177,Mathematics,Fall 2024,4,11.6,2.77,100,No,16,None
STU00178,Computer Science,Fall 2024,5,3.4,1.89,95.5,No,10,None
STU00179,Business,Fall 2024,5,19.0,3.52,67.2,Yes,24,Merit
STU00180,Mathematics,Fall 2024,4,25.4,3.08,89.6,No,18,Need-based
STU00181,Biology,Fall 2024,3,21.5,3.47,75.5,No,27,Need-based
STU00182,Business,Fall 2024,3,12.1,2.71,95.0,No,33,Department
STU00183,Engineering,Fall 2024,3,19.3,2.25,84.6,No,28,Athletic
STU00184,Business,Fall 2023,3,18.3,3.32,65.9,No,6,Athletic
STU00185,Mathematics,Fall 2024,3,13.8,2.76,77.0,No,31,Department
STU00186,Biology,Spring 2024,5,13.1,3.05,61.1,Yes,22,Athletic
STU00187,Engineering,Spring 2024,3,9.1,2.25,100,No,21,Merit
STU00188,Business,Fall 2023,3,20.0,3.29,79.2,Yes,54,Merit
STU00189,Business,Spring 2024,4,27.0,3.32,65.4,No,15,Need-based
STU00190,Engineering,Fall 2023,6,21.6,2.82,64.6,No,38,Department
STU00191,Mathematics,Spring 2024,4,17.6,2.62,77.0,No,6,Merit
STU00192,Business,Fall 2024,6,12.4,2.69,74.9,No,15,Need-based
STU00193,Engineering,Spring 2024,3,18.4,2.7,71.0,No,,Merit
STU00194,Engineering,Spring 2024,5,19.5,2.88,72.3,No,23,None
STU00195,Business,Fall 2024,6,13.0,2.43,81.2,No,20,Merit
STU00196,Biology,Fall 2023,4,18.7,3.13,75.9,No,34,Need-based
STU00197,Mathematics,Fall 2024,3,16.7,3.4,82.7,No,9,Merit
STU00198,Engineering,Spring 2024,5,22.4,3.15,68.8,No,10,None
STU00199,Biology,Spring 2024,4,14.4,2.4,95.4,No,32,Need-based
STU00200,Engineering,Fall 2024,3,11.4,2.28,72.3,No,,Merit
STU00201,Computer Science,Spring 2024,3,9.2,2.85,69.8,No,26,None
STU00202,Business,Fall 2024,6,13.5,2.83,83.0,No,28,Merit
STU00203,Engineering,Spring 2024,4,11.7,3.31,71.3,Yes,31,Need-based
STU00204,Biology,Fall 2023,4,14.0,2.56,66.1,No,45,Need-based
STU00205,Computer Science,Spring 2024,3,5.8,2.18,70.0,No,23,None
STU00206,Biology,Fall 2024,3,5.2,2.17,74.1,No,26,Department
STU00207,Biology,Fall 2023,4,1.4,3.09,93.7,No,20,Merit
STU00208,Mathematics,Spring 2024,4,12.9,3.42,80.3,No,,Merit
STU00209,Engineering,Fall 2023,4,20.8,2.83,88.9,No,41,None
STU00210,Business,Fall 2023,6,13.9,3.04,72.5,Yes,16,Merit
STU00211,Engineering,Fall 2023,3,21.5,2.36,64.4,No,5,Need-based
STU00212,Engineering,Spring 2024,4,3.3,2.44,70.4,No,18,Merit
STU00213,Computer Science,Fall 2024,6,6.2,2.87,83.9,No,38,Need-based
STU00214,Business,Fall 2024,4,6.0,2.13,74.9,No,31,Merit
STU00215,Engineering,Fall 2023,3,9.8,2.46,73.7,No,29,Athletic
STU00216,Computer Science,Spring 2024,6,20.4,3.61,91.0,No,14,Merit
STU00217,Biology,Fall 2024,4,5.6,2.21,76.5,No,37,Athletic
STU00218,Computer Science,Fall 2024,4,18.9,2.92,100,No,,Need-based
STU00219,Computer Science,Fall 2024,4,13.6,2.72,68.6,Yes,14,Athletic
STU00220,Mathematics,Fall 2024,6,4.0,1.97,69.4,No,39,Athletic
STU00221,Mathematics,Fall 2024,4,6.1,2.44,84.6,No,40,Department
STU00222,Business,Spring 2024,6,24.4,3.37,58.9,No,32,Need-based
STU00223,Business,Fall 2023,4,19.8,2.4,71.1,No,10,None
STU00224,Business,Fall 2023,6,25.9,3.5,89.8,No,,Need-based
STU00225,Mathematics,Fall 2024,4,13.9,3.39,89.2,Yes,29,Department
STU00226,Computer Science,Fall 2024,4,21.7,2.66,72.6,No,,Need-based
STU00227,Biology,Fall 2023,6,15.9,3.01,57.0,Yes,28,Need-based
STU00228,Business,Spring 2024,3,10.1,3.03,89.1,No,45,Athletic
STU00229,Mathematics,Fall 2023,3,6.9,2.3,79.2,No,5,None
STU00230,Biology,Fall 2023,3,18.2,2.63,91.1,No,23,Merit
STU00231,Engineering,Fall 2023,5,17.1,3.07,69.6,No,21,Department
STU00232,Biology,Spring 2024,3,12.6,3.12,68.1,No,37,None
STU00233,Business,Fall 2024,4,18.2,3.04,89.6,Yes,17,Merit
STU00234,Biology,Fall 2023,5,16.2,2.83,81.0,No,22,None
STU00235,Biology,Fall 2023,3,10.8,2.76,72.9,No,16,Merit
STU00236,Biology,Fall 2023,5,2.6,1.91,51.6,No,17,Need-based
STU00237,Mathematics,Spring 2024,3,17.7,2.67,73.7,Yes,16,None
STU00238,Biology,Spring 2024,3,12.2,2.98,96.2,No,28,None
STU00239,Engineering,Spring 2024,4,17.7,3.3,87.3,No,29,None
STU00240,Mathematics,Spring 2024,3,19.2,3.18,72.5,No,9,None
STU00241,Business,Fall 2024,5,19.1,2.71,83.9,No,21,Department
STU00242,Biology,Spring 2024,3,11.3,2.81,77.1,No,22,Department
STU00243,Mathematics,Fall 2024,3,18.8,3.16,92.5,No,41,Need-based
STU00244,Engineering,Fall 2024,4,11.9,2.8,90.4,No,34,Athletic
STU00245,Business,Fall 2023,5,1.6,2.17,78.5,No,29,Department
STU00246,Computer Science,Fall 2023,4,22.0,2.9,61.4,No,41,Need-based
STU00247,Biology,Fall 2024,3,7.1,2.29,62.3,No,24,Merit
STU00248,Engineering,Fall 2023,6,14.1,2.56,84.8,Yes,37,None
STU00249,Biology,Fall 2023,4,7.2,2.37,77.7,No,5,Athletic
STU00250,Biology,Spring 2024,6,11.7,2.29,88.1,No,52,Need-based
STU00251,Engineering,Fall 2023,3,16.8,3.14,80.3,Yes,38,Athletic
STU00252,Biology,Fall 2024,5,13.8,2.83,71.2,No,36,None
STU00253,Biology,Spring 2024,4,10.6,2.22,92.0,No,37,None
STU00254,Business,Fall 2024,3,9.2,2.63,66.6,No,22,Athletic
STU00255,Business,Fall 2023,6,19.3,3.23,95.1,No,15,Department
STU00256,Computer Science,Fall 2024,3,15.3,2.96,85.5,Yes,27,None
STU00257,Mathematics,Fall 2024,6,16.8,3.3,72.1,Yes,49,None
STU00258,Business,Fall 2024,3,20.6,3.13,79.5,No,37,Need-based
STU00259,Computer Science,Fall 2023,3,21.6,2.96,85.1,No,9,None
STU00260,Mathematics,Fall 2024,5,7.2,2.72,77.5,No,23,None
STU00261,Biology,Fall 2024,4,10.2,2.35,69.6,No,23,Department
STU00262,Biology,Fall 2023,3,23.0,2.95,79.2,No,9,Need-based
STU00263,Mathematics,Fall 2023,6,15.7,2.98,74.1,No,,Athletic
STU00264,Mathematics,Fall 2024,6,12.7,3.32,90.5,Yes,13,Department
STU00265,Mathematics,Fall 2023,4,11.8,2.16,72.2,No,27,Department
STU00266,Business,Spring 2024,6,19.9,2.49,77.6,No,13,Athletic
STU00267,Business,Spring 2024,5,19.1,2.62,81.4,No,20,Athletic
STU00268,Engineering,Fall 2024,4,24.4,3.66,56.4,Yes,21,Merit
STU00269,Biology,Fall 2024,4,19.8,3.35,76.8,No,31,Athletic
STU00270,Computer Science,Spring 2024,4,10.0,2.94,63.2,No,18,Athletic
STU00271,Business,Fall 2024,5,16.8,3.27,62.8,Yes,20,Athletic
STU00272,Computer Science,Fall 2024,6,9.3,1.72,82.3,No,13,Athletic
STU00273,Computer Science,Spring 2024,5,17.7,2.78,90.8,Yes,16,Merit
STU00274,Mathematics,Fall 2024,6,12.8,2.98,72.7,Yes,25,Athletic
STU00275,Computer Science,Fall 2023,5,19.6,2.98,88.3,No,13,Merit
STU00276,Engineering,Fall 2023,5,11.4,3.02,83.6,Yes,13,Department
STU00277,Engineering,Spring 2024,3,12.6,2.38,84.1,No,19,None
STU00278,Business,Fall 2024,3,25.1,3.41,86.9,Yes,24,Merit
STU00279,Business,Spring 2024,3,2.5,2.57,79.6,No,37,Merit
STU00280,Computer Science,Fall 2024,4,11.5,2.74,68.4,No,25,Athletic
STU00281,Biology,Fall 2024,3,13.0,2.81,77.0,Yes,20,Athletic
STU00282,Computer Science,Fall 2024,5,15.7,2.35,67.9,No,6,Merit
STU00283,Business,Fall 2024,5,7.8,1.89,78.0,No,24,None
STU00284,Mathematics,Spring 2024,3,4.0,2.21,82.9,No,18,Need-based
STU00285,Engineering,Fall 2023,5,14.8,2.96,74.1,No,12,Merit
STU00286,Computer Science,Spring 2024,3,13.0,2.41,92.4,No,12,Department
STU00287,Computer Science,Spring 2024,3,11.5,2.79,77.7,No,35,Merit
STU00288,Engineering,Fall 2024,4,14.9,3.03,92.0,Yes,28,None
STU00289,Computer Science,Fall 2023,6,9.4,2.37,66.6,No,19,Athletic
STU00290,Business,Spring 2024,3,13.6,2.72,69.9,No,18,Department
STU00291,Engineering,Fall 2023,4,25.2,3.21,87.0,No,13,Department
STU00292,Business,Fall 2024,3,16.1,2.91,87.1,No,28,Department
STU00293,Business,Fall 2024,5,14.6,3.21,87.1,No,49,Athletic
STU00294,Engineering,Spring 2024,3,12.7,2.58,85.0,No,9,Department
STU00295,Engineering,Fall 2023,3,23.5,3.46,84.6,Yes,17,Department
STU00296,Mathematics,Fall 2023,5,11.2,2.8,70.7,No,22,Merit
STU00297,Engineering,Fall 2024,4,20.2,3.2,88.8,No,5,None
STU00298,Mathematics,Fall 2023,3,18.1,2.99,69.2,No,38,Need-based
STU00299,Biology,Fall 2024,3,11.0,2.74,62.6,No,29,Need-based
STU00300,Mathematics,Fall 2024,6,7.5,1.73,50.4,Yes,6,Need-based
STU00301,Computer Science,Fall 2024,6,21.9,3.53,79.2,No,36,Merit
STU00302,Biology,Spring 2024,4,23.8,3.85,90.5,No,43,Need-based
STU00303,Mathematics,Fall 2023,6,21.4,2.97,66.1,No,15,Department
STU00304,Mathematics,Fall 2023,6,24.7,3.08,78.5,No,17,Department
STU00305,Mathematics,Fall 2024,5,16.3,2.78,76.6,No,27,Athletic
STU00306,Biology,Fall 2024,3,7.5,3.08,90.8,Yes,,Athletic
STU00307,Computer Science,Fall 2024,3,13.6,2.02,71.8,No,28,Need-based
STU00308,Computer Science,Fall 2023,6,18.8,3.12,63.3,No,9,Merit
STU00309,Engineering,Fall 2024,4,19.6,2.65,90.2,No,11,Merit
STU00310,Computer Science,Fall 2024,5,11.6,2.63,76.0,No,5,None
STU00311,Biology,Fall 2023,4,25.4,3.34,73.9,No,17,Department
STU00312,Computer Science,Fall 2023,5,15.1,2.59,75.5,Yes,35,Department
STU00313,Business,Spring 2024,3,10.4,2.35,80.2,No,31,None
STU00314,Computer Science,Fall 2024,3,18.7,3.09,63.4,No,25,Need-based
STU00315,Mathematics,Fall 2024,6,18.2,2.74,80.2,Yes,42,Need-based
STU00316,Computer Science,Fall 2024,3,19.0,2.89,81.5,Yes,,None
STU00317,Business,Spring 2024,5,15.8,2.67,70.4,No,41,Need-based
STU00318,Engineering,Spring 2024,6,30.6,3.71,67.6,No,31,Merit
STU00319,Computer Science,Fall 2024,6,18.4,3.39,78.1,Yes,30,Athletic
STU00320,Biology,Spring 2024,6,24.7,2.76,92.5,Yes,14,Department
STU00321,Business,Spring 2024,5,6.4,2.39,81.8,No,10,None
STU00322,Mathematics,Fall 2023,5,15.3,3.09,75.1,Yes,32,None
STU00323,Engineering,Spring 2024,5,12.8,2.17,82.5,No,25,Need-based
STU00324,Mathematics,Fall 2023,6,24.0,3.46,69.5,Yes,7,Athletic
STU00325,Biology,Spring 2024,5,18.5,3.0,60.8,No,5,Department
STU00326,Biology,Fall 2023,5,11.2,3.53,86.3,Yes,13,Department
STU00327,Computer Science,Fall 2023,6,13.2,2.68,85.9,No,36,Merit
STU00328,Biology,Fall 2023,5,6.4,2.44,73.6,No,,None
STU00329,Mathematics,Spring 2024,3,11.3,3.44,98.9,Yes,21,None
STU00330,Computer Science,Spring 2024,3,18.6,3.53,75.6,No,15,Department
STU00331,Engineering,Fall 2024,6,6.1,2.09,73.9,No,14,Need-based
STU00332,Computer Science,Fall 2024,4,13.7,2.45,61.3,No,18,Athletic
STU00333,Engineering,Fall 2023,3,14.4,2.55,65.6,No,5,None
STU00334,Mathematics,Fall 2024,5,29.5,3.11,89.1,No,27,Need-based
STU00335,Engineering,Spring 2024,6,17.9,3.08,69.9,No,9,Athletic
STU00336,Business,Fall 2024,4,23.3,2.98,61.9,No,42,Department
STU00337,Computer Science,Fall 2023,6,16.3,2.71,100,No,48,None
STU00338,Mathematics,Spring 2024,6,18.3,3.05,100,No,32,Merit
STU00339,Mathematics,Fall 2023,6,17.0,2.54,86.3,Yes,21,Athletic
STU00340,Biology,Spring 2024,3,7.9,2.44,84.7,No,37,Need-based
STU00341,Mathematics,Spring 2024,3,26.0,3.49,82.4,Yes,16,Department
STU00342,Mathematics,Spring 2024,5,17.4,3.22,80.2,Yes,38,Merit
STU00343,Computer Science,Fall 2024,4,7.7,2.9,74.3,No,7,Merit
STU00344,Biology,Fall 2023,3,7.0,1.55,73.6,No,33,Merit
STU00345,Mathematics,Spring 2024,3,16.0,3.01,100,No,24,Athletic
STU00346,Computer Science,Spring 2024,5,9.6,2.78,76.9,No,34,Department
STU00347,Engineering,Fall 2024,6,21.6,2.76,81.6,No,26,Athletic
STU00348,Business,Fall 2023,6,13.3,2.28,96.4,No,21,Need-based
STU00349,Business,Spring 2024,4,5.7,2.6,73.4,No,16,Department
STU00350,Computer Science,Fall 2024,4,8.6,2.43,96.9,No,11,Merit
STU00351,Business,Fall 2023,4,16.5,2.53,54.6,No,33,Athletic
STU00352,Computer Science,Fall 2024,6,14.4,2.89,90.0,No,36,Athletic
STU00353,Mathematics,Fall 2024,3,8.9,1.98,76.0,No,24,None
STU00354,Mathematics,Spring 2024,5,14.7,2.62,77.9,No,33,Department
STU00355,Computer Science,Fall 2023,5,21.0,2.72,55.3,No,23,None
STU00356,Mathematics,Spring 2024,3,19.4,3.6,80.0,No,22,None
